hanji,unicode
仵,0x4ef5
伻,0x4f3b
侗,0x4f97
侹,0x4fb9
倯,0x502f
偓,0x5053
偝,0x505d
傱,0x50b1
僆,0x50c6
儑,0x5111
儱,0x5131
儳,0x5133
凊,0x51ca
刐,0x5210
刜,0x521c
剺,0x527a
劌,0x528c
勼,0x52fc
匼,0x533c
吪,0x542a
呔,0x5454
呧,0x5467
呲,0x5472
呴,0x5474
呺,0x547a
呾,0x547e
咂,0x5482
咇,0x5487
咍,0x548d
咑,0x5491
哖,0x54d6
哱,0x54f1
唅,0x5505
唌,0x550c
唚,0x551a
喁,0x5581
喈,0x5588
喌,0x558c
喑,0x5591
喓,0x5593
喢,0x55a2
嗕,0x55d5
嗙,0x55d9
嗺,0x55fa
嘐,0x5610
嘓,0x5613
嘵,0x5635
噭,0x566d
噷,0x5677
嚙,0x5699
嚾,0x56be
囥,0x56e5
囷,0x56f7
坉,0x5749
坱,0x5771
坵,0x5775
垺,0x57ba
埽,0x57fd
墈,0x5888
墼,0x58bc
奅,0x5945
妗,0x5997
姼,0x59fc
娗,0x5a17
婸,0x5a78
媌,0x5a8c
嬭,0x5b2d
屘,0x5c58
屧,0x5c67
廕,0x5ed5
徛,0x5f9b
惝,0x60dd
愖,0x6116
慒,0x6152
憢,0x61a2
戇,0x6207
戥,0x6225
扲,0x6272
扴,0x6274
扷,0x6277
抌,0x628c
抰,0x62b0
抾,0x62be
拹,0x62f9
挃,0x6303
挐,0x6310
挓,0x6313
挔,0x6314
挕,0x6315
挩,0x6329
挲,0x6332
挼,0x633c
捀,0x6340
捋,0x634b
捔,0x6354
捘,0x6358
捙,0x6359
捥,0x6365
捽,0x637d
掇,0x6387
掔,0x6394
掜,0x639c
揈,0x63c8
揌,0x63cc
揜,0x63dc
揤,0x63e4
揫,0x63eb
揲,0x63f2
搉,0x6409
搟,0x641f
搢,0x6422
搣,0x6423
搤,0x6424
摵,0x6475
撋,0x648b
撏,0x648f
撙,0x6499
撟,0x649f
撠,0x64a0
擉,0x64c9
擗,0x64d7
擛,0x64db
擸,0x64f8
攄,0x6504
攕,0x6515
敆,0x6546
敧,0x6567
敨,0x6568
晬,0x666c
朒,0x6712
杴,0x6774
枵,0x67b5
柙,0x67d9
柫,0x67eb
栱,0x6831
栿,0x683f
桮,0x686e
桱,0x6871
桸,0x6878
棑,0x68d1
棰,0x68f0
楗,0x6957
楬,0x696c
槔,0x69d4
樠,0x6a20
橐,0x6a50
橛,0x6a5b
檨,0x6aa8
櫳,0x6af3
櫼,0x6afc
欱,0x6b31
欶,0x6b36
歁,0x6b41
歕,0x6b55
殗,0x6b97
毿,0x6bff
氅,0x6c05
汫,0x6c6b
沕,0x6c95
泏,0x6ccf
泔,0x6cd4
洘,0x6d18
浞,0x6d5e
浡,0x6d61
涗,0x6d97
湠,0x6e60
湢,0x6e62
溡,0x6ea1
滒,0x6ed2
漚,0x6f1a
潲,0x6f72
澍,0x6f8d
澩,0x6fa9
瀳,0x7033
炰,0x70b0
炱,0x70b1
烰,0x70f0
焐,0x7110
煠,0x7160
煡,0x7161
熁,0x7181
熇,0x7187
熗,0x7197
熥,0x71a5
燖,0x71d6
爁,0x7201
牚,0x725a
犅,0x7285
猌,0x730c
甪,0x752a
疕,0x7595
疧,0x75a7
疶,0x75b6
痀,0x75c0
痚,0x75da
痟,0x75df
痡,0x75e1
痻,0x75fb
瘼,0x763c
癉,0x7649
癗,0x7657
盦,0x76e6
眵,0x7735
矸,0x77f8
砃,0x7803
砉,0x7809
砣,0x7823
硞,0x785e
硩,0x7869
碖,0x7896
碡,0x78a1
碭,0x78ad
磟,0x78df
礐,0x7910
礓,0x7913
礤,0x7924
礱,0x7931
秪,0x79ea
秫,0x79eb
秮,0x79ee
窞,0x7a9e
窵,0x7ab5
笒,0x7b12
笱,0x7b31
